asset,event,slug,ts,ask,n_ask,gap,label,delta,ret_T,covd,limit,fill_t,ev_taker,fill_1800,ev_am_1800,ev_fb_1800,fill_7200,ev_am_7200,ev_fb_7200,fill_14400,ev_am_14400,ev_fb_14400
BTC,2026-02-14,bitcoin-above-68k-on-february-14,1770822000,0.33,0.31,0.05029579844071458,1,7.033483823695813,0.045994824587594935,True,0.32,1770822761.637,0.3515231452894245,True,0.3564961452894245,,True,0.3564961452894245,,True,0.3564961452894245,
BTC,2026-02-08,bitcoin-above-68k-on-february-8,1770228000,0.809,0.834,0.05258151133603328,1,3.7360150315197034,-0.02837806625296071,True,0.799,1770228277.313,0.2623298020865233,True,0.3070208820865232,,True,0.3070208820865232,,True,0.3070208820865232,
BTC,2026-02-09,bitcoin-above-68k-on-february-9,1770292800,0.683,0.659,0.05159808718232717,1,4.967708466694313,-0.0006748737677482313,True,0.673,1770294012.339,0.32862224612999275,True,0.33035257612999275,,True,0.33035257612999275,,True,0.33035257612999275,
BTC,2026-03-24,bitcoin-above-68k-on-march-24,1773927900,0.63,0.63,0.0528077918655826,1,5.472335980792042,0.0017319312247676961,True,0.62,1773934959.859,0.34420529044244647,False,,0.34420529044244647,True,0.3705222904424465,,True,0.3705222904424465,
BTC,2026-03-25,bitcoin-above-68k-on-march-25,1773928800,0.62,0.62,0.05978856672905686,1,4.954420356658464,0.013427382392550308,True,0.61,1773935021.591,0.29698310333771133,False,,0.2871581033377113,True,0.32347510333771134,,True,0.32347510333771134,
BTC,2026-04-08,bitcoin-above-70k-on-april-8,1775076300,0.31,0.31,0.05317728253533954,1,5.4483552201014005,0.04517996968584854,True,0.3,,0.42887047631808406,False,,0.3777154763180841,False,,0.3777154763180841,False,,0.35735147631808417
BTC,2026-02-09,bitcoin-above-70k-on-february-9,1770227100,0.687,0.684,0.05358416415715317,1,4.6270591227391416,-0.0349345987456163,True,0.677,1770227585.06,0.46251437382513527,True,0.4846444538251352,,True,0.4846444538251352,,True,0.4846444538251352,
BTC,2026-03-22,bitcoin-above-70k-on-march-22,1773927900,0.44,0.44,0.056297848718026566,0,7.956389121600504,-0.012728768270817497,True,0.43,1773933568.229,-0.355972966598694,False,,-0.335776966598694,True,-0.328724966598694,,True,-0.328724966598694,
BTC,2026-03-23,bitcoin-above-70k-on-march-23,1773971100,0.54,0.54,0.06614827185311645,1,7.850085689680678,-0.005554548376360581,True,0.53,,0.4862156807219072,False,,0.4862156807219072,False,,0.40711168072190723,False,,0.4268036807219073
BTC,2026-04-13,bitcoin-above-72k-on-april-13,1775604600,0.52,0.53,0.06789098350016942,0,6.461836869091188,-0.011757116708063883,True,0.51,1775606439.117,-0.47146442978162484,False,,-0.46149942978162484,True,-0.4340274297816248,,True,-0.4340274297816248,
BTC,2026-02-09,bitcoin-above-72k-on-february-9,1770396300,0.28,0.3,0.06036751266471707,0,5.461855361222777,0.0066952525171052315,True,0.27,1770402243.27,-0.3512685008552915,False,,-0.4635015008552915,True,-0.3065685008552915,,True,-0.3065685008552915,
BTC,2026-04-12,bitcoin-above-74k-on-april-12,1775604600,0.29,0.29,0.09075343032319472,0,6.961772239096391,-0.026367754057732735,True,0.28,1775609205.542,-0.120846701793555,False,,-0.12290522179355501,True,-0.09643370179355504,,True,-0.09643370179355504,
BTC,2026-04-14,bitcoin-above-74k-on-april-14,1775599200,0.14,0.23,0.050906916558775384,1,4.116947898017861,0.07476892693514073,True,0.13,,0.4497832234173214,False,,0.41871222341732134,False,,0.33647222341732125,False,,0.3774802234173213
BTC,2026-04-18,bitcoin-above-74k-on-april-18,1776267000,0.48,0.5,0.06069029284388716,1,10.619168001588308,0.026738852105493763,True,0.47,,0.19855563732213843,False,,0.18856263732213846,False,,0.18856263732213846,False,,0.03057863732213839
BTC,2026-04-23,bitcoin-above-74k-on-april-23,1776700800,0.66,0.66,0.06262241970082305,1,8.373881117140066,0.03457601398705424,True,0.65,,0.034756569367835666,False,,-0.0430034306321643,False,,-0.11030843063216436,False,,-0.11986743063216426
BTC,2026-04-23,bitcoin-above-76k-on-april-23,1776700800,0.39,0.39,0.07001456227228559,1,9.936354168761522,0.03457601398705424,True,0.38,,0.24978747928057687,False,,0.179052479280577,False,,0.08911547928057689,False,,0.07919247928057688
BTC,2026-05-03,bitcoin-above-76k-on-may-3,1777516200,0.49,0.45,0.052004074031922864,1,12.34787399652905,0.033010478023391805,True,0.48,1777516750.477,0.12506577680196668,True,0.11239077680196669,,True,0.11239077680196669,,True,0.11239077680196669,
BTC,2026-04-21,bitcoin-above-78k-on-april-21,1776489300,0.39,0.39,0.051175384974734395,0,11.931192488533727,-0.016894235964675382,True,0.38,1776501338.287,-0.20508461875874878,False,,-0.19492361875874875,False,,-0.18474861875874876,True,-0.17843161875874874,
