asset,event,slug,ts,T_pm,bid,ask,fv,gap,label,delta,ret_T,S_bin,tte_d,covd,L_bid+1c,ft_bid+1c,L_mid-1c,ft_mid-1c,L_ask-1c,ft_ask-1c,chase_ft,chase_L,chase_state
BTC,2025-10-21,bitcoin-above-104k-on-october-21,1760630400,1761062460,0.78,0.83,0.8293253925292252,0.03932539252922518,1,5.497132153958306,0.04335818429431848,108549.21,5.000694444444444,False,0.79,,0.795,,0.82,,,,na
BTC,2025-10-22,bitcoin-above-104k-on-october-22,1760864400,1761148860,0.71,0.75,0.7465475487732561,0.026547548773256158,1,7.827747895609632,0.018282962513978412,106443.95,3.2923611111111106,False,0.72,,0.72,,0.74,,,,na
BTC,2025-10-23,bitcoin-above-104k-on-october-23,1761086700,1761235260,0.887,0.927,0.9242460252141619,0.027246025214161862,1,4.891887119301351,0.006827673734200001,109167.44,1.7194444444444446,False,0.897,,0.897,,0.917,,,,na
BTC,2025-10-24,bitcoin-above-104k-on-october-24,1761087600,1761321660,0.842,0.888,0.8820287601904022,0.030028760190402237,1,5.207093637906582,0.009367634166218719,109066.98,2.7090277777777776,False,0.852,,0.855,,0.878,,,,na
BTC,2025-10-25,bitcoin-above-104k-on-october-25,1761096600,1761408060,0.793,0.838,0.8285349273919148,0.025534927391914763,1,5.733775944403814,0.029637249098371857,108160.01,3.6048611111111106,False,0.803,,0.8055,,0.828,,,,na
BTC,2025-10-26,bitcoin-above-104k-on-october-26,1761150600,1761494460,0.79,0.84,0.835341351165001,0.03534135116500092,1,5.51397765245716,0.04636681409621059,108546.27,3.979861111111111,False,0.8,,0.805,,0.83,,,,na
BTC,2025-10-27,bitcoin-above-104k-on-october-27,1761150600,1761580860,0.77,0.81,0.808824113480864,0.028824113480864,1,5.281857817986239,0.0578940198758767,108546.27,4.979861111111111,False,0.78,,0.78,,0.8,,,,na
BTC,2025-10-28,bitcoin-above-104k-on-october-28,1761282900,1761667260,0.89,0.94,0.9268309444837753,0.02683094448377532,1,3.639509561135914,0.030369844684538884,111135.1,4.448611111111111,False,0.9,,0.905,,0.93,,,,na
BTC,2025-10-29,bitcoin-above-104k-on-october-29,1761457500,1761753660,0.936,0.973,0.9712052973682853,0.025205297368285362,1,1.8613690506128249,-0.0020463785222824497,111628.21,3.427777777777778,False,0.946,,0.9445,,0.963,,,,na
BTC,2025-10-30,bitcoin-above-104k-on-october-30,1761457500,1761840060,0.9,0.95,0.940354290432494,0.030354290432493936,1,2.917158818108466,-0.03653337666685198,111628.21,4.427777777777778,False,0.91,,0.915,,0.94,,,,na
