asset,slug,ts,event,entry,fv,fv_sea,tte_d,label,ev_raw,ev_hedged
BTC,bitcoin-above-64k-on-march-1,1772356500,2026-03-01,0.97,0.9757763975190855,0.9901365861033219,0.3236111111111111,1,0.027963000000000026,0.049315641443636316
SOL,solana-above-80-on-march-1,1772358300,2026-03-01,0.965,0.9842058044724176,0.9914128681631126,0.30277777777777776,1,0.032635750000000026,0.057176767765682965
ETH,ethereum-above-1900-on-march-1,1772370900,2026-03-01,0.956,0.9877504508684914,0.9905644150835721,0.15694444444444444,1,0.04105552000000004,0.04712825045544776
BTC,bitcoin-above-64k-on-march-3,1772541000,2026-03-03,0.966,0.9989982601771354,0.9920194077779482,0.18819444444444447,1,0.03170092000000003,0.02993997093963459
ETH,ethereum-above-2000-on-march-4,1772637300,2026-03-04,0.989,0.9994296201865447,0.9929192319526073,0.07361111111111111,1,0.01023847000000001,0.0060079760616421
XRP,xrp-above-1pt4-on-march-4,1772638200,2026-03-04,0.98,0.9983505560246848,0.9900066651876335,0.06319444444444444,1,0.018628000000000016,0.01790919226175907
BTC,bitcoin-above-70k-on-march-5,1772709300,2026-03-05,0.969,0.9962984990618012,0.991262269992726,0.24027777777777778,1,0.028897270000000027,0.04951265686667483
ETH,ethereum-above-2000-on-march-5,1772718300,2026-03-05,0.961,0.9992310366952417,0.9931570535734473,0.1361111111111111,1,0.03637647000000003,0.03935608600518336
BTC,bitcoin-above-66k-on-march-7,1772874900,2026-03-07,0.979,0.9949889284931193,0.9944076430442051,0.3236111111111111,1,0.01956087000000002,0.023898910204514782
ETH,ethereum-above-1900-on-march-7,1772891100,2026-03-07,0.965,0.9999254213062133,0.999592232467861,0.1361111111111111,1,0.032635750000000026,0.03269941871828732
ETH,ethereum-above-2000-on-march-14,1773486000,2026-03-14,0.976,0.9983772164375773,0.99830936944162,0.20902777777777776,1,0.02236032000000002,0.02004249581818669
BTC,bitcoin-above-70k-on-march-16,1773651600,2026-03-16,0.978,0.9962054111578225,0.9900549366689888,0.2923611111111111,1,0.02049388000000002,0.019153929387422088
ETH,ethereum-above-2000-on-march-23,1774264500,2026-03-23,0.974,0.9997844164033752,0.998362740161755,0.1986111111111111,1,0.02422732000000002,0.025184866994904537
ETH,ethereum-above-2100-on-march-25,1774443600,2026-03-25,0.974,0.9990836542461318,0.9920320119805096,0.12569444444444444,1,0.02422732000000002,0.027067401132898593
ETH,ethereum-above-2000-on-april-7,1775559600,2026-04-07,0.965,0.9965572349289219,0.9908952403107629,0.20902777777777776,1,0.032635750000000026,0.03593067575743984
ETH,ethereum-above-2300-on-april-18,1776507300,2026-04-18,0.97,0.9943599262864583,0.9950591648681075,0.24027777777777778,1,0.027963000000000026,0.03027975446188998
XRP,xrp-above-1pt4-on-april-20,1776699000,2026-04-20,0.967,0.9999999990220594,0.9999739132807307,0.021527777777777778,1,0.030766230000000026,0.030766232994454027
ETH,ethereum-above-2200-on-april-30,1777553100,2026-04-30,0.98,0.9984349695447213,0.9921134977082979,0.1361111111111111,1,0.018628000000000016,0.01828360507846463
ETH,ethereum-above-2200-on-may-14,1778764500,2026-05-14,0.953,0.9986864871637618,0.9909171375095178,0.11527777777777777,1,0.043864630000000036,0.03572359367873165
BTC,bitcoin-above-78k-on-may-14,1778764500,2026-05-14,0.962,0.998701281874958,0.9906865768188069,0.11527777777777777,1,0.03544108000000003,0.024404816455451304
