asset,event,ts,side,edge,nfill,both,ev_raw,ev_hedged
SOL,2025-11-19,1763310600,short,0.050365959934288496,1,0,0.29400000000000004,0.3782635939924086
BTC,2025-11-20,1763323200,long,0.024677600374378716,1,0,-0.35000000000000003,0.08964385543119929
BTC,2025-11-20,1763325000,short,0.020335179303808237,1,0,-0.4,0.09907631269303763
ETH,2025-11-20,1763334000,long,0.02410242461424872,0,0,0.0,0.0
ETH,2025-11-20,1763334900,short,0.02426555280096032,1,0,0.10999999999999999,-0.03836273943123547
BTC,2025-11-20,1763339400,short,0.03165424492390434,2,1,0.17999999999999994,0.10731422029138381
BTC,2025-11-20,1763339400,long,0.02834575507609549,2,1,-0.12,-0.047314220291383866
BTC,2025-11-20,1763339400,short,0.020798825695984235,1,0,0.858,0.5080288183967245
BTC,2025-11-20,1763339400,long,0.022201174304015803,1,0,0.74,0.29221632614627713
SOL,2025-11-20,1763346600,short,0.0550199597860741,0,0,0.0,0.0
SOL,2025-11-20,1763346600,long,0.054542343112291114,0,0,0.0,0.0
BTC,2025-11-20,1763348400,short,0.04481851313792529,0,0,0.0,0.0
BTC,2025-11-20,1763351100,long,0.020996053310232687,0,0,0.0,0.0
SOL,2025-11-20,1763352000,short,0.03283410423902322,0,0,0.0,0.0
XRP,2025-11-20,1763353800,long,0.04413920729728371,1,0,-0.61,-0.09520664901847253
XRP,2025-11-20,1763354700,short,0.025040204306275626,0,0,0.0,0.0
XRP,2025-11-20,1763354700,long,0.034959795693724205,1,0,-0.61,-0.1024483440566819
SOL,2025-11-20,1763354700,short,0.025998427724817863,0,0,0.0,0.0
SOL,2025-11-20,1763354700,long,0.024001572275182292,0,0,0.0,0.0
XRP,2025-11-20,1763356500,short,0.05159276062607776,0,0,0.0,0.0
BTC,2025-11-20,1763356500,short,0.02238872308384232,0,0,0.0,0.0
BTC,2025-11-20,1763356500,long,0.03761127691615762,1,0,0.16000000000000003,-0.19230663454470887
BTC,2025-11-20,1763356500,short,0.02843600072914687,2,1,0.09000000000000004,-0.04189806937046832
XRP,2025-11-20,1763357400,long,0.02374070731556066,0,0,0.0,0.0
XRP,2025-11-20,1763357400,short,0.031259292684439166,0,0,0.0,0.0
BTC,2025-11-20,1763360100,short,0.023335756956023634,1,0,0.892,0.5333060765470484
BTC,2025-11-20,1763360100,short,0.021692545798908225,0,0,0.0,0.0
BTC,2025-11-20,1763360100,long,0.03830745420109172,1,0,0.16000000000000003,-0.19385409191990854
ETH,2025-11-20,1763366400,long,0.031024089703036495,1,0,-0.33,0.20964569496098234
BTC,2025-11-20,1763375400,long,0.022460432130623653,0,0,0.0,0.0
ETH,2025-11-20,1763381700,short,0.02993345389680424,1,0,-0.67,-0.11183542306399752
ETH,2025-11-20,1763384400,short,0.020372771643131227,1,0,-0.16,0.2222448286856317
ETH,2025-11-20,1763386200,short,0.02023073824923849,2,1,0.18000000000000005,0.2780482477704506
ETH,2025-11-20,1763386200,long,0.03976926175076145,2,1,-0.12,-0.21804824777045057
BTC,2025-11-20,1763387100,long,0.02517691948250267,1,0,0.33999999999999997,-0.17003504903585387
BTC,2025-11-20,1763390700,long,0.02000699068038847,1,0,0.028000000000000025,-0.03602477881531321
ETH,2025-11-21,1763454600,short,0.02705943439919123,2,1,0.13,0.034988316141394346
ETH,2025-11-21,1763454600,long,0.033097009276103595,0,0,0.0,0.0
ETH,2025-11-21,1763454600,short,0.04210304509563223,1,0,-0.07699999999999996,-0.27769614920198205
ETH,2025-11-21,1763454600,long,0.03137258909640184,1,0,0.27,-0.08546902870183265
ETH,2025-11-21,1763455500,long,0.02104662743825214,2,1,-0.07999999999999996,-0.18057313158090713
ETH,2025-11-21,1763455500,long,0.025746334760217593,0,0,0.0,0.0
ETH,2025-11-21,1763455500,short,0.02425366523978223,1,0,0.6,0.1344912300068175
ETH,2025-11-21,1763455500,short,0.033234873114089236,1,0,0.76,0.3673606857871438
ETH,2025-11-21,1763455500,short,0.029755736909769848,1,0,-0.08,0.12999361189989384
ETH,2025-11-21,1763456400,long,0.028759767983744355,1,0,-0.28,0.13633022660486266
ETH,2025-11-21,1763456400,short,0.039101735200130716,2,1,0.13,0.23149419246414663
BTC,2025-11-21,1763457300,long,0.02180783555841659,2,1,-0.01999999999999995,0.0636865048900246
BTC,2025-11-21,1763457300,long,0.0244687901140348,0,0,0.0,0.0
ETH,2025-11-21,1763460900,long,0.03118637381090328,2,1,0.964,0.868654618385023
ETH,2025-11-21,1763460900,long,0.02341387758596536,1,0,-0.06999999999999999,0.1388651401658747
