asset,slug,ts,event,n_ask,fv_seas,fv_flat,tte_d,label,ev_raw,ev_hedged
ETH,ethereum-above-1900-on-march-7,1772891100,2026-03-07,0.965,0.9972673108353712,0.9999001547352974,0.1361111111111111,1,0.032635750000000026,0.03269947600598309
ETH,ethereum-above-2000-on-march-13,1773392400,2026-03-13,0.974,0.9908426323174271,0.9931489349248271,0.2923611111111111,1,0.02422732000000002,0.010854957286790054
ETH,ethereum-above-2100-on-march-13,1773409500,2026-03-13,0.977,0.9935320464688535,0.9997195660045085,0.09444444444444444,1,0.02142703000000002,0.023816198304644903
ETH,ethereum-above-2000-on-march-14,1773486000,2026-03-14,0.976,0.9938917171628031,0.997884206834007,0.20902777777777776,1,0.02236032000000002,0.020047060582444175
BTC,bitcoin-above-70k-on-march-16,1773651600,2026-03-16,0.978,0.9929537777362077,0.9954266436859104,0.2923611111111111,1,0.02049388000000002,0.019155054447371523
XRP,xrp-above-1pt4-on-march-20,1773994500,2026-03-20,0.95,0.9925941226696147,0.9795083779547004,0.3236111111111111,1,0.04667500000000004,0.086180374218712
ETH,ethereum-above-2000-on-march-23,1774264500,2026-03-23,0.974,0.9983415000544267,0.9996492574457854,0.1986111111111111,1,0.02422732000000002,0.025193554719857993
ETH,ethereum-above-2100-on-march-25,1774443600,2026-03-25,0.974,0.9907531125363912,0.998963711874566,0.12569444444444444,1,0.02422732000000002,0.02708211683651964
ETH,ethereum-above-1900-on-march-27,1774608300,2026-03-27,0.953,0.9912632836992207,0.9963162372006699,0.21944444444444444,1,0.043864630000000036,0.049774953739845404
XRP,xrp-above-1pt3-on-april-6,1775463300,2026-04-06,0.97,0.9938679192667866,0.9821867152951851,0.3236111111111111,1,0.027963000000000026,0.019199278495911114
ETH,ethereum-above-2100-on-april-10,1775810700,2026-04-10,0.969,0.9903713803808831,0.992346772102226,0.30277777777777776,1,0.028897270000000027,0.007010092598049175
XRP,xrp-above-1pt3-on-april-10,1775813400,2026-04-10,0.97,0.9951492249457878,0.9872835934331753,0.27152777777777776,1,0.027963000000000026,0.013539910176119708
BTC,bitcoin-above-72k-on-april-10,1775835000,2026-04-10,0.99,0.9964868715384007,0.9998577820666287,0.021527777777777778,1,0.009307000000000008,0.01008847617267009
XRP,xrp-above-1pt4-on-april-16,1776347100,2026-04-16,0.65,0.992353219619765,0.996126220414559,0.09444444444444444,1,0.33407499999999996,0.33427157354540454
BTC,bitcoin-above-74k-on-april-16,1776354300,2026-04-16,0.94,0.9948719441261429,0.999538052678416,0.01111111111111111,1,0.056052000000000046,0.05402131900495026
XRP,xrp-above-1pt4-on-april-17,1776416400,2026-04-17,0.98,0.9940129737801158,0.9838518797410132,0.2923611111111111,1,0.018628000000000016,-0.05341598027819679
BTC,bitcoin-above-74k-on-april-17,1776418200,2026-04-17,0.935,0.99375287563925,0.9965055529331244,0.27152777777777776,1,0.06074574999999995,0.04329105749074234
XRP,xrp-above-1pt4-on-april-20,1776699000,2026-04-20,0.967,0.9999999880974829,0.9999999990220594,0.021527777777777778,1,0.030766230000000026,0.03076623299748471
BTC,bitcoin-above-76k-on-may-1,1777635900,2026-05-01,0.967,0.9900119922159016,0.9976190879813546,0.17777777777777776,1,0.030766230000000026,0.014376249848637716
BTC,bitcoin-above-78k-on-may-8,1778229900,2026-05-08,0.971,0.9904137513156678,0.9931577968848616,0.30277777777777776,1,0.027028870000000024,0.020006746698098564
ETH,ethereum-above-2200-on-may-15,1778848200,2026-05-15,0.976,0.9906687801545554,0.9984387362768053,0.14652777777777778,1,0.02236032000000002,0.031770562892042595
