asset,event,ts,fside,overshoot,z,label,ev_raw,ev_hedged
BTC,2026-05-15,1778853600,yes,-0.08553821628227953,-5.790163549812832,1,0.16900000000000004,0.0632076928492276
BTC,2026-05-04,1777889700,yes,-0.07253236251852613,-5.396423661739642,1,0.21499999999999997,-0.20128377074694043
BTC,2026-05-05,1777644900,no,0.06536499599216516,1.8384772755503829,1,-0.4,0.03387530203157796
BTC,2026-02-05,1769960700,yes,-0.05698110815547497,-1.781441402641385,0,-0.28,0.4033271137103407
BTC,2026-01-30,1769737500,yes,-0.11158467342836031,-9.11886228650309,1,0.252,0.1391493981985519
BTC,2026-01-31,1769870700,yes,-0.08738685214027908,-5.240837862627426,1,0.15800000000000003,0.25613074456364
BTC,2026-05-10,1778253300,yes,-0.05531604186159389,-1.627958939951154,1,0.55,0.14661805609702022
BTC,2026-05-14,1778737500,no,0.057757631718919955,2.062156229484031,1,-0.5700000000000001,0.06047518709923083
BTC,2026-05-04,1777905900,no,0.09015154594573459,3.055271748468962,1,-0.79,-0.543645147890278
BTC,2026-05-05,1777909500,yes,-0.05312341082553951,-1.7670516736211839,1,0.54,0.1261134729138732
BTC,2026-05-09,1778252400,no,0.050671622548422224,1.6547223175602368,1,-0.44999999999999996,-0.319726748655045
BTC,2026-02-01,1769796900,yes,-0.06369622577036727,-1.9311735351181345,0,-0.677,0.35035914114376254
BTC,2026-01-31,1769796900,yes,-0.07293290384590267,-1.9311735351181345,0,-0.741,-0.18104127367671674
BTC,2026-01-29,1769701500,yes,-0.07283399292265025,-3.7193873835801554,1,0.22999999999999998,-0.0611510197166063
BTC,2026-01-31,1769798700,no,0.0722888366425378,1.8734139075718361,0,0.274,-0.37361868244894436
BTC,2025-11-23,1763711100,yes,-0.07250776093234834,-4.213516323614103,1,0.489,0.28980482997482165
BTC,2025-11-25,1763567100,yes,-0.05074007251199819,-4.901965256890538,1,0.12,0.2489910400602288
BTC,2025-12-01,1764178200,no,0.05298342933426914,2.313024615494437,0,0.79,0.48375844620737746
BTC,2025-12-15,1765811700,yes,-0.07122511661027886,-5.8805934899838785,1,0.08999999999999997,0.1307319351428983
BTC,2025-12-17,1765987200,yes,-0.058324666703104766,-8.459115449883734,1,0.07899999999999996,0.08916331153209382
BTC,2025-12-20,1766064600,no,0.053061113364171186,1.8185425260414732,1,-0.20999999999999996,-0.15228897304099287
BTC,2025-12-26,1766761200,yes,-0.07082166751151919,-5.736854692157325,1,0.08999999999999997,0.11298523548199153
BTC,2025-12-04,1764687600,no,0.052058117879495325,2.5417651874361677,1,-0.10999999999999999,0.12182840114534182
BTC,2026-02-01,1769698800,yes,-0.05229782684704287,-4.260323995379939,0,-0.65,0.7662803260578576
BTC,2026-01-29,1769698800,yes,-0.08115926139587548,-4.260323995379939,0,-0.867,-0.6610755516343261
BTC,2026-01-31,1769698800,yes,-0.05396933268072868,-4.260323995379939,0,-0.66,0.38430507169907424
BTC,2025-11-25,1763656200,yes,-0.0529341686290169,-3.0220626405589965,1,0.27,0.3713806649515157
BTC,2025-12-17,1765986300,yes,-0.18155340949553256,-5.427992051767398,0,-0.685,-0.12955986860832713
BTC,2025-12-19,1766127600,no,0.06561540768280921,2.021650149961836,0,0.41999999999999993,0.5287992342280483
