asset,event,slug,ts,entry,ev_raw,ev_hedged,label
BTC,2026-06-02,bitcoin-above-76k-on-june-2-2026,1779952500,0.16,-0.16,0.3707878565418068,0
ETH,2026-06-02,ethereum-above-2000-on-june-2-2026,1779954300,0.47000000000000003,-0.47000000000000003,-0.17130328255311422,0
XRP,2026-05-29,xrp-above-1pt3-on-may-29-2026,1779955200,0.39,0.61,0.3074397725245712,1
XRP,2026-05-30,xrp-above-1pt3-on-may-30-2026,1779961500,0.42,0.5800000000000001,0.1946013840491091,1
ETH,2026-06-01,ethereum-above-2100-on-june-1-2026,1780002900,0.13,-0.13,0.020316893739251357,0
ETH,2026-05-30,ethereum-above-2000-on-may-30-2026,1780005600,0.67,0.32999999999999996,0.2903808791989803,1
ETH,2026-06-02,ethereum-above-2100-on-june-2-2026,1780009200,0.14,-0.14,0.10492713023256395,0
ETH,2026-06-01,ethereum-above-2000-on-june-1-2026,1780009200,0.53,-0.53,-0.37317711103068085,0
ETH,2026-05-31,ethereum-above-2100-on-may-31-2026,1780010100,0.060000000000000005,-0.060000000000000005,-0.06573068780354405,0
ETH,2026-05-29,ethereum-above-2000-on-may-29-2026,1780013700,0.67,0.32999999999999996,0.1453741808105808,1
XRP,2026-05-29,xrp-above-1pt3-on-may-29-2026,1780047000,0.87,0.13,0.1563725097318694,1
XRP,2026-06-03,xrp-above-1pt4-on-june-3-2026,1780049700,0.11,-0.11,0.19451831293089883,0
SOL,2026-06-02,solana-above-80-on-june-2-2026,1780055100,0.68,-0.68,-0.15696080771075227,0
SOL,2026-06-01,solana-above-80-on-june-1-2026,1780056000,0.7,-0.7,-0.4912026184830932,0
SOL,2026-06-03,solana-above-80-on-june-3-2026,1780056000,0.65,-0.65,0.08760864333471097,0
XRP,2026-06-03,xrp-above-1pt3-on-june-3-2026,1780056000,0.54,-0.54,-0.06270176620909584,0
XRP,2026-06-02,xrp-above-1pt3-on-june-2-2026,1780056000,0.55,-0.55,0.005595315172349902,0
XRP,2026-05-31,xrp-above-1pt3-on-may-31-2026,1780063200,0.53,0.47,0.22814498122093751,1
XRP,2026-06-01,xrp-above-1pt3-on-june-1-2026,1780064100,0.56,-0.56,-0.4052824210219645,0
XRP,2026-05-30,xrp-above-1pt3-on-may-30-2026,1780065000,0.53,0.47,0.0051731627328034935,1
ETH,2026-06-03,ethereum-above-2100-on-june-3-2026,1780072200,0.2,-0.2,0.3967303944350022,0
ETH,2026-06-04,ethereum-above-2100-on-june-4-2026,1780073100,0.27,-0.27,0.631473842923936,0
XRP,2026-06-02,xrp-above-1pt4-on-june-2-2026,1780074900,0.08,-0.08,0.2939544756507853,0
BTC,2026-06-04,bitcoin-above-74k-on-june-4-2026-965,1780080300,0.45,-0.45,0.9837055114196642,0
BTC,2026-06-03,bitcoin-above-76k-on-june-3-2026,1780083900,0.17,-0.17,0.6563336207057608,0
