slug,K,T_pm,ts,bid,bid_sz,ask,ask_sz,result_id,fv,sigma,x,S_idx,S_bin,extrap,tte_d,label,asset,mid,spread,dt,date,S_T,n_bid,n_ask,n_bid_sz,n_ask_sz,n_mid,n_ts,exp_dt,is_test,event,gap_yes,gap_no,delta,ret_T,ev_raw,ev_hedged,entry
ethereum-above-1700-on-june-5-2026,1700.0,1780675260,1780520400,0.798,5000.0,0.803,200.0,1,0.8615484199392286,0.7381886663241183,-0.04649793561011687,1777.66,1781.44,0,1.792361111111111,0,ETH,0.8005,0.0050000000000000044,2026-06-03 21:00:00+00:00,2026-06-03,1574.5,0.867,0.871,9.0,107.55,0.869,1780521300.0,2026-06-05 16:01:00+00:00,True,2026-06-05,0.058548419939228546,-0.06354841993922855,5.2420625942716415,-0.12348426445406363,-0.87886513,-0.2315528863242058,0.871
bitcoin-above-64k-on-june-5-2026-299,64000.0,1780675260,1780532100,0.538,6852.0,0.539,352.11,1,0.5900310185436418,0.578540956380718,-0.0052311463845339445,64265.16,64316.53,0,1.6569444444444443,0,BTC,0.5385,0.0010000000000000009,2026-06-04 00:15:00+00:00,2026-06-04,60204.04,0.421,0.422,6362.0,287.15,0.4215,1780533000.0,2026-06-05 16:01:00+00:00,True,2026-06-05,0.05103101854364178,-0.05203101854364178,10.176037598949742,-0.0660772147128598,-0.43907412,0.23333010135193633,0.422
bitcoin-above-64k-on-june-6-2026-957-953-472-848,64000.0,1780761660,1780550100,0.471,5005.0,0.489,5.0,1,0.54261558218999,0.6330312135371331,0.00018025837422688376,63850.03,63958.0,0,2.448611111111111,0,BTC,0.48,0.018000000000000016,2026-06-04 05:15:00+00:00,2026-06-04,60787.86,0.49,0.516,10.0,72.42,0.503,1780551000.0,2026-06-06 16:01:00+00:00,True,2026-06-06,0.05361558218998996,-0.07161558218998998,7.688615926442339,-0.050836519950815263,-0.53348208,-0.14261960306125798,0.516
xrp-above-1pt2-on-june-5-2026,1.2,1780675260,1780577100,0.258,5026.0,0.259,49.0,1,0.3543103587066171,0.6722253015986378,0.01986262909625169,1.1757,1.1764,1,1.136111111111111,0,XRP,0.2585,0.0010000000000000009,2026-06-04 12:45:00+00:00,2026-06-04,1.0939,0.271,0.381,10.0,6.2,0.326,1780578000.0,2026-06-05 16:01:00+00:00,True,2026-06-05,0.09531035870661708,-0.09631035870661708,9.1523866193626,-0.07270963555409468,-0.39750873000000003,0.26795796554402734,0.381
bitcoin-above-64k-on-june-7-2026-536,64000.0,1780848060,1780622100,0.373,200.0,0.384,100.0,1,0.43464168121782254,0.4236683979571238,0.00904599358560877,63226.63,63361.92,0,2.615277777777778,0,BTC,0.3785,0.01100000000000001,2026-06-05 01:15:00+00:00,2026-06-05,62078.25,0.402,0.419,5.0,15.0,0.4105,1780623000.0,2026-06-07 16:01:00+00:00,True,2026-06-07,0.05064168121782253,-0.06164168121782254,10.643245633338422,-0.020467364032701732,-0.43604073,-0.2182015471329994,0.419
bitcoin-above-62k-on-june-6-2026-188,62000.0,1780761660,1780626600,0.62,5098.82,0.63,110.0,1,0.6866428441338503,0.514893242940194,-0.01281013077514186,62586.31,62705.48,0,1.5631944444444446,0,BTC,0.625,0.010000000000000009,2026-06-05 02:30:00+00:00,2026-06-05,60787.86,0.66,0.67,10.0,610.0,0.665,1780627500.0,2026-06-06 16:01:00+00:00,True,2026-06-06,0.056642844133850345,-0.06664284413385035,11.252393583834404,-0.031058746156097834,-0.685477,-0.33599176403118325,0.67
ethereum-above-1600-on-june-6-2026,1600.0,1780761660,1780641900,0.754,10.0,0.758,10.0,1,0.8232502577742797,0.935245164394113,-0.03959759014754974,1664.37,1664.95,0,1.386111111111111,0,ETH,0.756,0.0040000000000000036,2026-06-05 06:45:00+00:00,2026-06-05,1559.05,0.742,0.808,5.16,62.0,0.775,1780642800.0,2026-06-06 16:01:00+00:00,True,2026-06-06,0.06525025777427973,-0.06925025777427973,5.561389463785869,-0.06571843154919414,-0.8188595200000001,-0.4533737272057789,0.808
solana-above-70-on-june-7-2026,70.0,1780848060,1780645500,0.125,12.0,0.139,5000.0,1,0.1936266866168658,0.8152285049881295,0.055965847918527836,65.9828,66.19,0,2.3444444444444446,0,SOL,0.132,0.014000000000000012,2026-06-05 07:45:00+00:00,2026-06-05,64.93,0.112,0.139,12.0,5000.0,0.1255,1780646400.0,2026-06-07 16:01:00+00:00,True,2026-06-07,0.05462668661686579,-0.0686266866168658,4.111910454779581,-0.019219627610435868,-0.14737753,-0.06834814229167846,0.139
bitcoin-above-64k-on-june-6-2026-957-953-472-848,64000.0,1780761660,1780651800,0.305,490.0,0.309,70.04,1,0.363113268582211,0.5367449572040938,0.014006915549265787,63041.44,63114.43,0,1.2715277777777778,0,BTC,0.307,0.0040000000000000036,2026-06-05 09:30:00+00:00,2026-06-05,60787.86,0.282,0.283,5.0,273.92,0.2825,1780652700.0,2026-06-06 16:01:00+00:00,True,2026-06-06,0.054113268582210994,-0.058113268582211,11.351128930814394,-0.03755933004782794,-0.29720377,0.1291370279279061,0.283
bitcoin-above-60k-on-june-7-2026-159,60000.0,1780848060,1780669800,0.54,208.0,0.55,18.0,0,0.6167684969458826,0.5516416738534642,-0.006965032456307612,60401.695,60394.6,0,2.0631944444444446,1,BTC,0.545,0.010000000000000009,2026-06-05 14:30:00+00:00,2026-06-05,62078.25,0.63,0.66,6661.0,200.0,0.645,1780670700.0,2026-06-07 16:01:00+00:00,True,2026-06-07,0.0667684969458826,-0.07676849694588261,9.528728313377886,0.027495989074158143,0.32429199999999997,0.062290190404740264,0.66
