asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf,P0,P1,ev_policy_fill,ev_policy_sig
BTC,bitcoin-above-58k-on-june-9-2026,58000.0,1781020860,1780668000,0.6103287180131877,4.084027777777778,60732.36,61201.47,4.90134091375691,0.0076945391530086,1,2026-06-09,True,0.785,1780668900.0,0.2031857499999999,0.1654721904368544,-5.799390104582226e-05,-0.0002842478799442,97.76666666666668,0.1651879425569101,60897.5,61144.0,0.1796710333498708,0.16175700391728037
BTC,bitcoin-above-60k-on-june-11-2026,60000.0,1781193660,1780668900,0.5666804116120943,6.073611111111111,60865.45,62795.24,5.388650794745928,0.0312135841772563,1,2026-06-11,True,0.54,1780669800.0,0.4426119999999999,0.2744128948163584,-3.428635081808955e-05,-0.0001847571715848,145.51666666666668,0.2742281376447735,60394.0,62710.5,0.23583102998089414,0.2704560820884519
ETH,ethereum-above-1600-on-june-10-2026,1600.0,1781107260,1780669800,0.7256533235916947,5.063194444444445,1603.42,1656.82,4.667094463495414,0.0327612544466927,1,2026-06-10,True,0.575,1780670700.0,0.40789375,0.254993880754676,-0.000446382290555,-0.0020833083168518,121.26666666666668,0.2529105724378241,1615.1,1653.2,0.29372583057686796,0.24964360631337743
ETH,ethereum-above-1600-on-june-9-2026,1600.0,1781020860,1780669800,0.7232415566091482,4.063194444444444,1603.42,1638.95,5.227774576594155,0.021916944847271,1,2026-06-09,True,0.49,1780670700.0,0.492507,0.3779301529308201,-0.0004442663548914,-0.0023225243553375,97.26666666666668,0.3756076285754826,1615.1,1636.85,0.41659419653453256,0.371948186371867
ETH,ethereum-above-1500-on-june-10-2026,1500.0,1781107260,1780669800,0.8314379388128134,5.063194444444445,1603.42,1656.82,3.336631003547376,0.0327612544466927,1,2026-06-10,True,0.821,1780670700.0,0.16871287,0.0594006526980608,-0.000446382290555,-0.0014894129901004,121.26666666666668,0.0579112397079603,1615.1,1653.2,0.08709116241784416,0.05557559800547723
BTC,bitcoin-above-58k-on-june-10-2026,58000.0,1781107260,1780669800,0.6208812794221187,5.063194444444445,60394.6,62574.0,4.773824546371517,0.0354501593966449,1,2026-06-10,True,0.786,1780670700.0,0.2022257199999999,0.0329928788995135,-3.607429332025576e-05,-0.0001722123469452,121.26666666666668,0.0328206665525682,61027.5,62491.5,0.08554371172805185,0.029478989370108316
BTC,bitcoin-above-56k-on-june-10-2026,56000.0,1781107260,1780685100,0.6976841037670943,4.886111111111111,59952.0,62574.0,3.576043453596988,0.0428056143157992,1,2026-06-10,True,0.813,1780686000.0,0.17635783,0.0232830931487885,9.30528201508428e-06,3.327609283391593e-05,117.01666666666668,0.0233163692416224,59206.5,62491.5,-0.019215661241527408,0.02081313882410479
BTC,bitcoin-above-60k-on-june-9-2026,60000.0,1781020860,1780741800,0.6047468954874042,3.229861111111111,60527.28,61201.47,6.957903271451702,0.0110770363389076,1,2026-06-09,True,0.56,1780742700.0,0.4227519999999999,0.3456790526195252,4.171292011453942e-06,2.902344633267573e-05,77.26666666666667,0.3457080760658578,60343.0,61144.0,0.3261581014799271,0.3408375437758418
BTC,bitcoin-above-66k-on-june-11-2026,66000.0,1781193660,1780820100,0.7392970198756179,4.323611111111111,62383.58,62795.24,3.768909751304733,0.006577174701067,0,2026-06-11,True,0.18,1780821000.0,-0.190332,-0.2151207778668865,2.4120924242183525e-05,9.090958658684822e-05,103.51666666666668,-0.2150298682802996,62509.5,62710.5,-0.20497885623860784,-0.2176681051062127
BTC,bitcoin-above-68k-on-june-11-2026,68000.0,1781193660,1780820100,0.7392980583911851,4.323611111111111,62383.58,62795.24,2.6729719930261435,0.006577174701067,0,2026-06-11,True,0.076,1780821000.0,-0.08091568,-0.0984962837691924,2.4120924242183525e-05,6.447455494526192e-05,103.51666666666668,-0.0984318092142471,62509.5,62710.5,-0.09130346827169465,-0.10030288960936523
