asset,event,slug,ts,filled,delta,pnl,move_bp
BTC,2026-04-28,bitcoin-above-76k-on-april-28,1777368600,True,23.3581584481623,0.37136274464400765,-17.37134785566447
BTC,2026-04-29,bitcoin-above-76k-on-april-29,1777368600,True,16.24728288474986,-0.4950317445305351,-17.37134785566447
ETH,2026-04-29,ethereum-above-2300-on-april-29,1777380300,True,14.211591758198745,-0.2963279076185259,-43.82806727096241
ETH,2026-05-02,ethereum-above-2300-on-may-2,1777410000,True,8.028805747099993,0.4795929281361053,-35.74152108000193
ETH,2026-05-04,ethereum-above-2300-on-may-4,1777411800,False,6.37305997106587,0.011920804890236992,-25.821939350417125
BTC,2026-05-05,bitcoin-above-78k-on-may-5,1777414500,True,7.223826242032252,0.2229294121179745,-16.001949335081257
BTC,2026-05-05,bitcoin-above-80k-on-may-5,1777416300,False,4.969919441680978,-0.012804227645599776,18.72879939103266
BTC,2026-05-05,bitcoin-above-76k-on-may-5,1777420800,False,7.702972700501268,-0.07093009945218653,85.04295648490765
BTC,2026-05-03,bitcoin-above-80k-on-may-3,1777420800,False,4.952124694074584,-0.045599888602419855,85.04295648490765
BTC,2026-05-02,bitcoin-above-78k-on-may-2,1777420800,True,8.950073836037067,0.4788211012645992,-13.977032259457566
BTC,2026-05-03,bitcoin-above-78k-on-may-3,1777420800,True,8.251423823160584,0.45621186765464866,-13.977032259457566
BTC,2026-05-04,bitcoin-above-76k-on-may-4,1777420800,True,8.315167836976533,0.057788525688134446,-13.977032259457566
BTC,2026-05-04,bitcoin-above-78k-on-may-4,1777420800,True,7.685149361445787,0.3182630350251671,-13.977032259457566
BTC,2026-05-02,bitcoin-above-76k-on-may-2,1777421700,True,10.21902000798512,0.16182756476110782,-12.618592636830824
BTC,2026-05-03,bitcoin-above-76k-on-may-3,1777422600,True,9.18712198411929,0.16461311959394975,10.636480775869575
ETH,2026-05-03,ethereum-above-2500-on-may-3,1777428900,False,2.093130013588126,-0.03639440089839492,166.87454975888141
ETH,2026-04-30,ethereum-above-2300-on-april-30,1777429800,False,12.098195277661642,-0.2154165285927478,171.0561186512125
ETH,2026-05-01,ethereum-above-2200-on-may-1,1777429800,False,6.128392852374518,-0.10912016906758748,171.0561186512125
ETH,2026-05-03,ethereum-above-2300-on-may-3,1777429800,False,7.244511404817623,-0.12899341284876464,171.0561186512125
ETH,2026-05-01,ethereum-above-2300-on-may-1,1777429800,False,9.64556798136627,-0.17174584499291393,171.0561186512125
ETH,2026-04-29,ethereum-above-2400-on-april-29,1777444200,True,6.806616031525911,0.12474860418950626,-18.953196449807976
SOL,2026-05-03,solana-above-90-on-may-3,1777444200,False,3.9534370048039107,-0.01810905757391444,38.82586205635263
SOL,2026-05-04,solana-above-90-on-may-4,1777444200,False,3.9659903361939146,-0.018166559185957276,38.82586205635263
XRP,2026-05-04,xrp-above-1pt4-on-may-4,1777446000,True,6.934601463458575,-0.47191558511440806,-0.7183134004463928
ETH,2026-05-03,ethereum-above-2200-on-may-3,1777451400,True,4.114268268362204,0.121103817105316,-1.9778055881581216
XRP,2026-05-04,xrp-above-1pt3-on-may-4,1777454100,True,3.49280066284366,0.14315775565779992,-207.31389045134725
XRP,2026-05-03,xrp-above-1pt3-on-may-3,1777454100,True,3.3056247526202327,0.13259306644747007,-218.30652649288234
XRP,2026-05-05,xrp-above-1pt3-on-may-5,1777454100,True,3.5717649505160534,0.12100235360640045,-218.30652649288234
XRP,2026-05-01,xrp-above-1pt3-on-may-1,1777454100,True,2.1582526830345636,0.08408535946468788,-218.30652649288234
BTC,2026-04-29,bitcoin-above-76k-on-april-29,1777455900,True,9.868416710277772,-0.7575420006709979,-14.535916123219264
XRP,2026-05-05,xrp-above-1pt4-on-may-5,1777456800,True,6.694232181359882,0.4750724989959206,-152.1815314379036
XRP,2026-05-02,xrp-above-1pt5-on-may-2,1777456800,False,2.7876785313468266,0.0693948368112962,-256.1560021338253
ETH,2026-05-03,ethereum-above-2400-on-may-3,1777462200,True,7.102278637549954,-0.2332143393459686,-65.53560514209902
SOL,2026-05-02,solana-above-90-on-may-2,1777462200,True,3.853554044305699,-0.03179869322974472,-193.85753069573798
SOL,2026-05-01,solana-above-80-on-may-1,1777462200,True,2.8246215150365304,0.09994997212682315,-193.85753069573798
SOL,2026-05-01,solana-above-90-on-may-1,1777462200,True,3.5728386079553576,-0.03641436883718782,-193.85753069573798
